"KWh","ReactivePower","RotorSpeed","WindSpeed","Orientation"
0,6.42495848505659e-14,0,0,1.86931260037157e-17
0,0,0,0,0.0174382997769064
0,0,0,0,8.3692389425398e-13
0,0,0,0,0
6.42495848505659e-14,0.0174382997769064,8.3692389425398e-13,1.86931260037157e-17,0
