"KWh","WindSpeed","RotorSpeed","ReactivePower","Orientation"
0,0,0,6.42495848505659e-14,1.86931260037157e-17
0,0,0,0,0
0,0,0,0,8.3692389425398e-13
0,0,0,0,0.0174382997769064
6.42495848505659e-14,1.86931260037157e-17,8.3692389425398e-13,0.0174382997769064,0
