"KWh","ReactivePower","RotorSpeed","WindSpeed","Orientation"
0,1.8525327222183e-21,0,0,2.15853932023432e-25
0,0,0,0,1.87748934089377e-08
0,0,0,0,9.3291342291652e-08
0,0,0,0,0
1.8525327222183e-21,1.87748934089377e-08,9.3291342291652e-08,2.15853932023432e-25,0
