"KWh","WindSpeed","RotorSpeed","ReactivePower","Orientation"
0,0,0,1.8525327222183e-21,2.15853932023432e-25
0,0,0,0,0
0,0,0,0,9.3291342291652e-08
0,0,0,0,1.87748934089377e-08
1.8525327222183e-21,2.15853932023432e-25,9.3291342291652e-08,1.87748934089377e-08,0
