"KWh","WindSpeed","RotorSpeed","ReactivePower","Orientation"
0,0,0,1.11916674812069e-26,1.14286662129616e-24
0,0,0,0,0
0,0,0,0,0.00186605679383213
0,0,0,0,2.95727692169552e-14
1.11916674812069e-26,1.14286662129616e-24,0.00186605679383213,2.95727692169552e-14,0
