"Name","Min","Q1","Mean","Median","Q3","Max","SD","IQR","Obs","NAs"
"KWh",0,10,132.02,66,255,402.22,139.11,245,50984,0
"WindSpeed",0.1,3.9,7.65,6.8,10.8,28.6,4.55,6.9,50984,0
"RotorSpeed",0,8.68,13.58,14.13,19.42,20.96,6.04,10.74,50984,0
"ReactivePower",-68,0,60.56,17,124,256,82.53,124,50984,0
"Orientation",-795,-313,-37.47,-67,263,807,330.15,576,50984,0
