"KWh","ReactivePower","RotorSpeed","WindSpeed","Orientation"
1,0.86,1,0.96,-0.03
NA,1,0.86,0.87,0
NA,NA,1,0.96,-0.02
NA,NA,NA,1,-0.05
NA,NA,NA,NA,1
