"KWh","ReactivePower","RotorSpeed","WindSpeed","Orientation"
1,0.95,0.87,0.94,-0.12
NA,1,0.79,0.9,-0.12
NA,NA,1,0.87,-0.09
NA,NA,NA,1,-0.13
NA,NA,NA,NA,1
