"KWh","ReactivePower","RotorSpeed","WindSpeed","Orientation"
0,2.00677196521703e-78,0,0,1.62896056990463e-91
0,0,0,0,1.30011639530052e-82
0,0,0,0,5.08281984977247e-45
0,0,0,0,0
2.00677196521703e-78,1.30011639530052e-82,5.08281984977247e-45,1.62896056990463e-91,0
