"KWh","WindSpeed","RotorSpeed","ReactivePower","Orientation"
0,0,0,5.01213813347392e-66,5.46459979478187e-72
0,0,0,0,0
0,0,0,0,1.25787762860939e-62
0,0,0,0,9.36114003921292e-45
5.01213813347392e-66,5.46459979478187e-72,1.25787762860939e-62,9.36114003921292e-45,0
