"Name","Min","Q1","Mean","Median","Q3","Max","SD","IQR","Obs","NAs"
"KWh",0,12,132.4,72,253,434.44,135.18,241,50827,0
"WindSpeed",0,4.1,7.82,7.1,11,30.2,4.51,6.9,50827,0
"RotorSpeed",0,9.02,13.82,14.5,19.36,20.96,5.78,10.34,50827,0
"ReactivePower",-71,0,63.88,22,126,260,81.27,126,50827,0
"Orientation",-747,-301,-11.29,-60,279,746,330.28,580,50827,0
