"KWh","WindSpeed","RotorSpeed","ReactivePower","Orientation"
1,0.94,0.87,0.95,-0.12
NA,1,0.87,0.9,-0.13
NA,NA,1,0.79,-0.09
NA,NA,NA,1,-0.12
NA,NA,NA,NA,1
